Adult Gohan,Wild Sense,2,Evasion,the next melee or super is dodged and gives a free smash attack if in melee range,Full Power Charge,1,Energy Boost,Grants you full Ki
Adult Gohan (SSJ1),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Full Power Charge,1,Energy Boost,Grants you full Ki
Adult Gohan (SSJ2),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Full Power,3,Max Power,"Enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Android 13,Hi-Tension,2,Stat Boost,"Grants Attack +.4 & Ki +1.4, and gain 2 bars of Ki. Stackable, and lasts until next Super",Wild Sense,2,Evasion,the next melee or super is dodged and gives a free smash attack if in melee range
Android 13 (Fused),Android Barrier,2,Barrier,Repels opponent and all kinds of attacks for 3 seconds.,Pump Up,2,Stat Boost,Grants Attack +4 but get Ki -1 for 15 seconds
Android 16,Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Pump Up,1,Stat Boost,Grants Attack +4 but get Ki -1 for 15 seconds
Android 17,Android Barrier,1,Barrier,Repels opponent and all kinds of attacks for 3 seconds.,Finish Sign,2,Stat Boost,"Grants Attack +.8 & Super +2.Stacks once (for a total of 2), and Lasts until next Super"
Android 18,Android Barrier,1,Barrier,Repels opponent and all kinds of attacks for 3 seconds.,Super Unyielding Spirit,3,Max Power,"Grants Attack +1 and enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Android 19,False Courage,2,Stat Boost,"Grants Def +1 against supers, and gives you brick wall for 10 seconds.",Pump Up,2,Stat Boost,Grants Attack +4 but get Ki -1 for 15 seconds
Android 8,False Courage,2,Stat Boost,"Grants Def +1 against supers, and gives you brick wall for 10 seconds.",Howl,3,Max Power,"Grants Attack +1,  Def -1, and enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Appule,False Courage,2,Stat Boost,"Grants Def +1 against supers, and gives you brick wall for 10 seconds.",Full Power Charge,1,Energy Boost,Grants you full Ki
Arale,Ncha,3,Stat Boost,Grants Attack +.6 & Super +.4 stacking up to 5 times. Lasts 20 seconds.,Getting Excited!,3,Healing,"Regain ~12,500 HP. Disabled"
Babidi,Demon Eye,2,Stun,Launch a cone of energy in front of you stunning your opponent for 5 seconds.,Wizard Barrier,2,Barrier,Repels opponent and all kinds of attacks for 3 seconds.
Baby Vegeta,Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Hi-Tension,2,Stat Boost,"Grants Attack +.4 & Ki +1.4, and gain 2 bars of Ki. Stackable, and lasts until next Super"
Baby Vegeta (Giant Ape),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Howl,3,Max Power,"Grants Attack +1,  Def -1, and enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Baby Vegeta (Super 1),Afterimage,2,Evasion,"Each use grants a charge that evades melee, Supers, and even the MAX power mode knockback. Stackable.",Hi-Tension,2,Stat Boost,"Grants Attack +.4 & Ki +1.4, and gain 2 bars of Ki. Stackable, and lasts until next Super"
Baby Vegeta (Super 2),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Full Power,3,Max Power,"Enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Bardock,Wild Sense,2,Evasion,the next melee or super is dodged and gives a free smash attack if in melee range,Saiyan Soul,2,Stat Boost,"Grants Attack +.6 & Super +.4, and a brick wall. lasts for 30s"
Bardock (Giant Ape),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Howl,3,Max Power,"Grants Attack +1,  Def -1, and enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Bojack,Psycho Barrier,2,Barrier,Repels opponent and all kinds of attacks for 3 seconds.,Full Power,3,Max Power,"Enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Bojack (Full Power),Psycho Barrier,2,Barrier,Repels opponent and all kinds of attacks for 3 seconds.,Pump Up,1,Stat Boost,Grants Attack +4 but get Ki -1 for 15 seconds
Broly,Wild Sense,2,Evasion,the next melee or super is dodged and gives a free smash attack if in melee range,Kakarot,2,Max Power,"Grants Attack & Def +.2, and enters Max Power Mode."
Broly (Legendary SSJ),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Kakarot,3,Max Power,"Grants Attack & Def +.6, and enters Max Power Mode."
Broly (SSJ),Saiyan Soul,3,Stat Boost,"Grants Attack +.6 & Super +.4, and a brick wall. lasts for 30s",Kakarot,2,Max Power,"Grants Attack & Def +.2, and enters Max Power Mode."
Burter,Afterimage,2,Evasion,"Each use grants a charge that evades melee, Supers, and even the MAX power mode knockback. Stackable.",Special Fighting Pose 2,2,Max Power,"Enters Max Power Mode. However, you get Ki -1 until you charge to full power."
Captain Ginyu,Special Fighting Pose 5,2,Max Power,"Enters Max Power Mode. However, you get Ki -1 until you charge to full power.",Self-harm,1,Stat Boost,"Pay all your ki to gain Attack +.4, Defense +.4, Super +.4, and Ki +1.4.  Stackable, and Lasts until next Super"
Cell,Solar Flare,2,Stun,"Project a flash of light in front of you stunning your opponent for 3 seconds, and breaking target locks.",Afterimage,2,Evasion,"Each use grants a charge that evades melee, Supers, and even the MAX power mode knockback. Stackable."
Cell (Perfect),Explosive Wave,1,Barrier,Repels opponent for 3 seconds.,Afterimage,2,Evasion,"Each use grants a charge that evades melee, Supers, and even the MAX power mode knockback. Stackable."
