Adult Gohan,Explosive Madan,2,9280,10240,Cone,Fire a large cone of energy in front of you,Full Power Energy Blast Volley,3,5040,5600,Barrage,Launch a barrage of energy balls at the opponent,Super Kamehameha,4,12800,14080,Beam,Fire a large beam of energy at the target
Adult Gohan (SSJ1),Explosive Madan,2,"6,560","7,240",Cone,Fire a large cone of energy in front of you,Full Power Energy Blast Volley,3,"5,280","5,840",Barrage,Launch a barrage of energy balls at the opponent,Bros. Kamehameha,5,"15,450","17,000",Cutscene,"Fire an energy beam at your opponent, and get your little brother to help take them down"
Adult Gohan (SSJ2),Super Explosive Madan,2,"6,840","7,560",Cone,Fire a large cone of energy in front of you,Full Power Energy Barrage Wave,3,"5,800","6,400",Barrage,Launch a barrage of energy balls at the opponent,Super Kamehameha,5,"14,560","16,040",Beam,Fire a large beam of energy at the target
Android 13,Full Power Energy Wave,3,"6,840","7,560",Beam,Fire an energy beam,Silent Assassin 13,3,"7,310","8,000",Dash,Dash at the target and perform a melee combo,S.S. Deadly Bomber,4,"12,760","14,040",Projectile,Fire a large orb of energy at the target
Android 13 (Fused),S.S. Deadly Bomber,3,"7,760","8,560",Projectile,Fire a large orb of energy at the target,Super Explosive Wave,4,"8,220","9,060",Explosion,Explode in a wave of energy,S.S. Deadly Hammer,5,"13,640","15,010",Grab,Grab your target and perform a melee combo
Android 16,Hell's Impact,4,"7,730","8,510",Projectile,Launch your fist at your target,Hell's Flash,4,"7,730","8,510",Grab,Grab your target and fire guns hidden in your forearms at them,Self-destruct Device,5,"14,550","16,010",Dash,Dash forward and grab your enemy. Then explode leaving you on 1 HP
Android 17,Full Power Energy Ball,3,"7,280","8,020",Barrage,Launch two energy balls in quick succession at your target,Photon Flash,2,"5,480","6,080",Beam,Fire a thin beam at your target,Sadistic Dance,4,"13,640","15,010",Dash,Dash forward and grab your enemy. Then explode leaving you on 1 HP
Android 18,Infinity Bullet,3,"6,000","6,600",Barrage,Fire a barrage of energy balls at your target,Destructo Disc,3,"5,460","6,020",Barrage,Launch two Destructo Discs in quick succsession at your target,Sadistic 18,5,"12,730","14,010",Dash,Dash forwardthen perform a devastating combo
Android 19,Full Power Energy Wave,3,"6,360","7,000",Beam,Fire an energy beam,High Power Rush,2,"6,220","6,820",Dash,Dash at the target and perform a melee combo,Drain Life 19,4,"10,730","11,010",Dash,Dash forward and grab your enemy. Then drain their life.
Android 8,Eighter Attack,4,"7,730","8,510",Charge,Charge forward and knock over things in your way,Eighter's Anger,3,"7,320","8,100",Explosion,Explode in a wave of energy,You Hurt Goku!,4,"11,820","13,010",Dash,Dash forward then perform a devastating combo
Appule,Energy Wave,3,"5,920","6,520",Beam,Fire an energy beam,High Speed Rush,3,"5,910","6,510",Dash,Dash at the target and perform a melee combo,Full Power Energy Ball,4,"11,840","13,040",Projectile,Fire a small orb of energy at the target
Arale,WOOHOO!~,3,"6,820","7,510",Projectile,Throw a giant rock at the target,Ping!,4,"8,180","9,000",Charge,Charge forward and knock over things in your way,Playing Pro-Wrestling,5,"12,730","14,010",Dash,Dash forward then perform a devastating combo
Babidi,Pui Pui nice shot!,2,"5,910","6,510",Dash,"Dash forward and call your minion, Pui Pui to do your bidding",Yakon is next!,3,"7,730","8,510",Dash,"Dash forward and call your minion, Yakon to do your bidding",Babidi's Ultimate Power!,4,"12,780","14,100",Beam,"Fire a large beam of energy at the target. Note that if Babidi successfully grabs an opponent, this will do an additional 20% damage for each grab."
Baby Vegeta,Galick Gun,3,"6,840","7,560",Beam,Fire an energy beam,Finger Blitz Barrage,2,"4,200","4,800",Barrage,Launch a large amount of tiny balls at the opponent,Final Flash,4,"12,760","14,040",Beam,Fire a large beam of energy at the target
Baby Vegeta (Giant Ape),Super Galick Gun,3,"8,220","9,060",Beam,Fire an energy beam,Gigantic Flame,3,"8,200","9,040",Cone,Breathe a large cone of flame in front of you,Revenge Death Ball Final,5,"15,480","17,040",Projectile,Fire a large orb of energy at the target
Baby Vegeta (Super 1),Galick Gun,3,"7,280","8,040",Beam,Fire an energy beam,Finger Blitz Barrage,2,"4,600","5,200",Barrage,Launch a large amount of tiny balls at the opponent,Final Flash,4,"13,640","15,040",Beam,Fire a large beam of energy at the target
Baby Vegeta (Super 2),Final Flash,3,"7,760","8,560",Beam,Fire an energy beam,Full Power Energy Blast Volley,3,"6,000","6,600",Barrage,Launch a barrage of energy balls at the opponent,Revenge Death Ball,5,"14,550","16,050",Projectile,Fire a large orb of energy at the target
Bardock,Full Power Energy Wave,3,"6,840","7,560",Beam,Fire an energy beam,Final Revenger,3,"7,310","8,000",Dash,Dash at the target and perform a melee combo,Final Spirit Cannon,5,"13,650","15,050",Supernova,Fire a massive orb of energy at the target
Bardock (Giant Ape),Chou Makouhou,3,"7,760","8,560",Beam,Fire an energy beam out of your mouth!,Super Explosive Wave,4,"8,640","9,540",Explosion,Explode in a wave of energy,Giga Meteor Storm,4,"12,750","14,040",Barrage,Fire three large balls of energy at the target
Bojack,Full power energy ball,3,"6,840","7,560",Projectile,Fire a large orb of energy at the target,Trap shooter,2,"5,040","5,700",Barrage,Launch a large amount of tiny balls at the opponent,Grand Smasher,4,"12,760","14,040",Projectile,Fire a large orb of energy at the target
Bojack (Full Power),Grand Smasher,3,"7,760","8,560",Projectile,Fire a large orb of energy at the target,Galactic Tyrant,3,"8,220","9,000",Dash,Dash at the target and perform a melee combo,Galactic Buster,5,"13,680","15,120",Beam,Fire a large beam of energy at the target
Broly,Full Power Energy Wave,3,"5,920","6,520",Beam,Fire an energy beam,Bloody Smash,3,"5,910","6,510",Dash,Dash at the target and perform a melee combo,Eraser Cannon,4,"11,840","13,040",Projectile,Fire a large orb of energy at the target
Broly (Legendary SSJ),Eraser Cannon,3,"7,760","8,560",Projectile,Fire a large orb of energy at the target,Gigantic Hammer,4,"8,180","9,000",Grab,Grab your target and perform a melee combo,Omega Blaster,5,"14,550","16,010",Cutscene,Fire a large orb of energy at the target
Broly (SSJ),Eraser Cannon,3,"6,840","7,560",Projectile,Fire a large orb of energy at the target,Trap shooter,2,"4,200","4,700",Barrage,Launch a large amount of tiny balls at the opponent,Super Explosive Wave,5,"12,780","14,100",Explosion,Explode in a wave of energy
Burter,Full Power Energy Ball,3,"5,920","6,520",Projectile,Launch an energy ball at your target,Space Mach Attack,2,"6,360","7,000",Dash,Dash at the target and perform a melee combo,Purple Comet Attack,5,"13,640","15,010",Dash,Dash forward then perform a devastating combo with Jeice
Captain Ginyu,Full Power Energy Wave,3,"6,840","7,560",Beam,Fire an energy beam,Galaxy Dynamite,3,"5,000","5,500",Barrage,Launch a barrage of energy balls at the opponent,Body Change,4,"2,730","3,010",Dash,"Dash forward then change bodies with Nail, Kid Gohan, Early Goku, Scouter Vegeta, or Jeice."
Cell,Kamehameha,3,"7,080","11,280",Chargeable Beam,Fire an energy beam that can be charged up for up to 50% more damage,Special Beam Cannon,4,"7,940","14,780",Chargeable Beam,Fire an energy beam that can be charged up for up to 50% more damage,Drain Life Cell,4,"12,220","12,250",Dash,Dash forward then drain the life of your enemy (does not work on androids)
Cell (Perfect),Super Kamehameha,3,"7,800","12,420",Chargeable Beam,Fire an energy beam that can be charged up for up to 50% more damage,Barrage Death Beam,2,"5,400","6,000",Barrage,Launch a barrage of beams at the opponent,Perfect Barrier,4,"13,680","15,060",Explosion,Explode in a wave of energy
Cell (Semi-Perfect),Big Bang Crash,3,"6,840","7,560",Projectile,Fire a large orb of energy at the target,Drain Life Cell,3,"7,220","7,500",Dash,Dash forward then drain the life of your enemy (does not work on androids),Unforgivable!,5,"15,450","17,000",Dash,Dash forward and grab your enemy. Then explode leaving you on 1 HP
Cell (Super Perfect),Full Power Death Beam,2,"6,760","7,440",Chargeable Beam,Fire an energy beam that can be charged up for up to 50% more damage,Perfect Combination,3,"8,100","8,880",Dash,Dash at the target and perform a melee combo,Solar Kamehameha,5,"14,580","16,080",Beam,Fire a large beam of energy at the target
Cell Jr.,Special Beam Cannon,3,"6,580","10,500",Chargeable Beam,Fire an energy beam that can be charged up for up to 50% more damage,Innocence Rush,3,"6,360","7,000",Dash,Dash at the target and perform a melee combo,Super Kamehameha,4,"11,840","13,040",Beam,Fire a large beam of energy at the target
Chi-Chi,Stay Away From Me!,3,"6,360","7,000",Projectile,Launch a whirling blade of energy at your target,That Won't Work,2,"5,000","5,500",Sweeping,Sweep a beam horizontally across the field,Save Goku!,5,"12,730","14,010",Dash,Dash forward then perform a devastating combo with Kid Goku
Chiaotzu,Dodon Ray,2,"5,450","6,000",Beam,Fire a thin energy beam,Psychic Rock Throw,3,"6,820","7,510",Projectile,Throw a giant rock at the target,"Farewell, Mr. Tien!",5,"14,550","16,010",Dash,Dash forward and grab your enemy. Then explode leaving you on 1 HP
Cooler,Full Power Energy Wave,3,"7,760","8,560",Beam,Fire an energy beam,Darkness Eye Beam,2,"6,360","7,000",Sweeping,Sweep a beam horizontally across the field,Death Ball,4,"13,640","15,040",Projectile,Fire a large orb of energy at the target
Cooler (Final Form),Death Beam,2,"6,360","7,000",Beam,Fire a thin energy beam,Death Chaser,3,"8,180","9,000",Dash,Dash at the target and perform a melee combo,Supernova,5,"14,560","16,040",Supernova,Fire a massive orb of energy at the target
Cui,Full Power Energy Wave,3,"6,360","7,000",Beam,Fire an energy beam,Full Power Energy Barrage Wave,3,"4,700","5,200",Barrage,Launch a barrage of energy balls at the opponent,Ah! Lord Frieza!,4,"11,820","13,010",Dash,Dash forward then distract your opponent thinking that your lord Frieza is right behind them!
