Android 13,Transform! (Requires 3 Blast Stocks),Is an Android - passively charges,Is an Android - cannot be life drained,Banned from Eternal Life,Must start in base form,,,
Android 13 (Fused),Is an Android - passively charges,Is an Android - cannot be life drained,Ultimate Body in Max Power Mode,Banned from Eternal Life,Banned as a starting form,,,
Android 16,Is an Android - passively charges,Is an Android - cannot be life drained,Ultimate Body in Max Power Mode,,,,,
Android 17,Is an Android - passively charges,Is an Android - cannot be life drained,Deflect rush blasts in Max Power Mode,,,,,
Android 18,Is an Android - passively charges,Is an Android - cannot be life drained,Deflect rush blasts in Max Power Mode,,,,,
Android 19,Is an Android - passively charges,Is an Android - cannot be life drained,Grabs drain Ki,,,,,
Android 8,Is an Android - passively charges,Is an Android - cannot be life drained,No rush blasts- replaced with more melee,Ultimate Body in Max Power Mode,,,,
Appule,,,,,,,,
Arale,Is an Android - passively charges,Is an Android - cannot be life drained,No rush blasts- replaced with more melee,Deflect rush blasts in Max Power Mode,,,,
Babidi,Deflect rush blasts in Max Power Mode,Grabs drain Ki,,,,,,
Baby Vegeta,Transform! (Requires 1 Blast Stock),Must start in base or SSJ form,,,,,,
Baby Vegeta (Giant Ape),Giant Ape - Immune to Dash Supers ,Giant Ape - Ultimate Body,Banned as a starting form,,,,,
Baby Vegeta (Super 1),Transform! (Requires 1 Blast Stock),Must start in base or SSJ form,,,,,,
Baby Vegeta (Super 2),Transform! (Requires 3 Blast Stocks),Banned as a starting form,,,,,,
Bardock,Transform! (Requires 3 Blast Stocks),Ultimate Body in Max Power Mode,Must start in base form,,,,,
Bardock (Giant Ape),Giant Ape - Immune to Dash Supers ,Giant Ape - Ultimate Body,Banned as a starting form,,,,,
Bojack,Transform! (Requires 3 Blast Stocks),Deflect rush blasts in Max Power Mode,Must start in base form,,,,,
Bojack (Full Power),Ultimate Body in Max Power Mode,Must start in base form,Banned as a starting form,,,,,
Broly,Must start in base or SSJ form,,,,,,,
Broly (Legendary SSJ),Deflect rush blasts in Max Power Mode,Banned as a starting form,,,,,,
Broly (SSJ),Must start in base or SSJ form,,,,,,,
Burter,,,,,,,,
Captain Ginyu,,,,,,,,
Cell,Banned from Eternal Life,Banned from Master Grab,Banned from Recoome AI,Bans the team from Eternal Life,,,,
Cell (Perfect),,,,,,,,
